id,applied_ml,street,city,state,zipcode,has_pool,has_solar_panels
0,False,2301 BEAMREACH CT,LINCOLN,CA,95648,False,True
1,False,2239 GEMSTONE LN,LINCOLN,CA,95648,False,True
2,True,2423 CULPEPPER WAY,LINCOLN,CA,95648,False,True
3,True,2147 CULPEPPER LN,LINCOLN,CA,95648,False,True
4,True,2096 CULPEPPER LN,LINCOLN,CA,95648,False,True
5,True,2440 CULPEPPER WAY,LINCOLN,CA,95648,False,True
6,True,2132 CULPEPPER LN,LINCOLN,CA,95648,False,True
7,False,2231 CULPEPPER LN,LINCOLN,CA,95648,False,True
8,False,2192 CULPEPPER LN,LINCOLN,CA,95648,False,True
9,True,2303 CULPEPPER LN,LINCOLN,CA,95648,False,True
10,True,805 FAIRYWREN CT,LINCOLN,CA,95648,False,True
11,True,2042 OMEGA DR,LINCOLN,CA,95648,False,True
12,False,2006 OMEGA WAY,LINCOLN,CA,95648,False,True
13,True,2186 OMEGA DR,LINCOLN,CA,95648,False,True
14,False,1009 LIMPKIN CT,LINCOLN,CA,95648,False,True
15,False,901 TURACO CT,LINCOLN,CA,95648,False,True
16,False,1003 LIMPKIN CT,LINCOLN,CA,95648,False,True
17,False,2282 OMEGA DR,LINCOLN,CA,95648,False,True
18,True,2006 GEMSTONE CT,LINCOLN,CA,95648,False,True
19,False,2002 GEMSTONE CT,LINCOLN,CA,95648,False,True
20,False,2304 BEAMREACH CT,LINCOLN,CA,95648,False,True
21,True,2307 BEAMREACH CT,LINCOLN,CA,95648,False,True
22,True,2099 CULPEPPER LN,LINCOLN,CA,95648,False,True
23,True,2060 CULPEPPER LN,LINCOLN,CA,95648,False,True
24,False,2452 CULPEPPER WAY,LINCOLN,CA,95648,False,True
25,True,2183 CULPEPPER LN,LINCOLN,CA,95648,False,True
26,True,2387 CULPEPPER LN,LINCOLN,CA,95648,False,True
27,True,2156 CULPEPPER LN,LINCOLN,CA,95648,False,True
28,True,2207 CULPEPPER LN,LINCOLN,CA,95648,False,True
29,True,2320 CULPEPPER LN,LINCOLN,CA,95648,False,True
30,False,810 FAIRYWREN CT,LINCOLN,CA,95648,False,True
31,False,911 TURACO CT,LINCOLN,CA,95648,False,True
32,True,1875 OMEGA WAY,LINCOLN,CA,95648,False,True
33,True,1010 LIMPKIN CT,LINCOLN,CA,95648,False,True
34,True,1970 OMEGA WAY,LINCOLN,CA,95648,False,True
35,True,2007 GEMSTONE CT,LINCOLN,CA,95648,False,True
36,False,2270 OMEGA DR,LINCOLN,CA,95648,False,True
37,False,2306 BEAMREACH CT,LINCOLN,CA,95648,False,True
38,True,2309 BEAMREACH CT,LINCOLN,CA,95648,False,True
